L-BFGS | iteration: 149, total loss=253629792256.0000, content_loss=119780224.6094, style loss=253477170000.0000, tv loss=32831380.0000
L-BFGS | iteration: 150, total loss=252286582784.0000, content_loss=120049853.5156, style loss=252133530000.0000, tv loss=33006156.0000
L-BFGS | iteration: 151, total loss=250886504448.0000, content_loss=120025830.0781, style loss=250733505000.0000, tv loss=32968988.0000
L-BFGS | iteration: 152, total loss=249494421504.0000, content_loss=120125693.3594, style loss=249341235000.0000, tv loss=33068192.0000
L-BFGS | iteration: 153, total loss=248153473024.0000, content_loss=120159765.6250, style loss=248000205000.0000, tv loss=33110378.0000
L-BFGS | iteration: 154, total loss=246854598656.0000, content_loss=120217861.3281, style loss=246701205000.0000, tv loss=33165184.0000
L-BFGS | iteration: 155, total loss=245554315264.0000, content_loss=120226855.4688, style loss=245400885000.0000, tv loss=33216168.0000
L-BFGS | iteration: 156, total loss=244308721664.0000, content_loss=120329169.9219, style loss=244155120000.0000, tv loss=33280078.0000
L-BFGS | iteration: 157, total loss=243087572992.0000, content_loss=120394296.8750, style loss=242933835000.0000, tv loss=33338354.0000
L-BFGS | iteration: 158, total loss=241832984576.0000, content_loss=120432373.0469, style loss=241679190000.0000, tv loss=33359964.0000
L-BFGS | iteration: 159, total loss=240564502528.0000, content_loss=120513320.3125, style loss=240410520000.0000, tv loss=33450334.0000
L-BFGS | iteration: 160, total loss=239276605440.0000, content_loss=120564521.4844, style loss=239122545000.0000, tv loss=33482924.0000
L-BFGS | iteration: 161, total loss=238037778432.0000, content_loss=120613974.6094, style loss=237883605000.0000, tv loss=33547960.0000
L-BFGS | iteration: 162, total loss=236778258432.0000, content_loss=120652685.5469, style loss=236624025000.0000, tv loss=33586732.0000
L-BFGS | iteration: 163, total loss=235553210368.0000, content_loss=120803349.6094, style loss=235398705000.0000, tv loss=33699868.0000
L-BFGS | iteration: 164, total loss=234323345408.0000, content_loss=120824345.7031, style loss=234168840000.0000, tv loss=33666096.0000
L-BFGS | iteration: 165, total loss=233080815616.0000, content_loss=121049814.4531, style loss=232925955000.0000, tv loss=33815368.0000
L-BFGS | iteration: 166, total loss=231846641664.0000, content_loss=120940195.3125, style loss=231691905000.0000, tv loss=33778292.0000
L-BFGS | iteration: 167, total loss=230590283776.0000, content_loss=121128603.5156, style loss=230435265000.0000, tv loss=33892404.0000
L-BFGS | iteration: 168, total loss=229298094080.0000, content_loss=121095917.9688, style loss=229143105000.0000, tv loss=33891616.0000
