L-BFGS | iteration: 182, total loss=2163678720.0000, content_loss=201987246.0938, style loss=1952046796.8750, tv loss=9644622.0000
L-BFGS | iteration: 183, total loss=2151000064.0000, content_loss=202338554.6875, style loss=1939018125.0000, tv loss=9643364.0000
L-BFGS | iteration: 184, total loss=2144731776.0000, content_loss=202120097.6562, style loss=1932968085.9375, tv loss=9643668.0000
L-BFGS | iteration: 185, total loss=2136706816.0000, content_loss=202157089.8438, style loss=1924907460.9375, tv loss=9642293.0000
L-BFGS | iteration: 186, total loss=2125860992.0000, content_loss=202228183.5938, style loss=1913989921.8750, tv loss=9642903.0000
L-BFGS | iteration: 187, total loss=2110387328.0000, content_loss=202282832.0312, style loss=1898462226.5625, tv loss=9642284.0000
L-BFGS | iteration: 188, total loss=2094670336.0000, content_loss=202530195.3125, style loss=1882497539.0625, tv loss=9642645.0000
L-BFGS | iteration: 189, total loss=2081965696.0000, content_loss=202542812.5000, style loss=1869782695.3125, tv loss=9640241.0000
L-BFGS | iteration: 190, total loss=2073126400.0000, content_loss=202461269.5312, style loss=1861022226.5625, tv loss=9642862.0000
L-BFGS | iteration: 191, total loss=2056983424.0000, content_loss=202635332.0312, style loss=1844707148.4375, tv loss=9640823.0000
L-BFGS | iteration: 192, total loss=2049574272.0000, content_loss=202420468.7500, style loss=1837516289.0625, tv loss=9637482.0000
L-BFGS | iteration: 193, total loss=2043289984.0000, content_loss=202336171.8750, style loss=1831317539.0625, tv loss=9636390.0000
L-BFGS | iteration: 194, total loss=2032008704.0000, content_loss=202389218.7500, style loss=1819983046.8750, tv loss=9636293.0000
L-BFGS | iteration: 195, total loss=2017244416.0000, content_loss=202540058.5938, style loss=1805069062.5000, tv loss=9635293.0000
L-BFGS | iteration: 196, total loss=2011844864.0000, content_loss=202566542.9688, style loss=1799639062.5000, tv loss=9639278.0000
L-BFGS | iteration: 197, total loss=2001048960.0000, content_loss=202830937.5000, style loss=1788579257.8125, tv loss=9638794.0000
L-BFGS | iteration: 198, total loss=1993025920.0000, content_loss=202763085.9375, style loss=1780624335.9375, tv loss=9638344.0000
L-BFGS | iteration: 199, total loss=1985648640.0000, content_loss=202674199.2188, style loss=1773336210.9375, tv loss=9638297.0000
L-BFGS | iteration: 200, total loss=1976847872.0000, content_loss=202691054.6875, style loss=1764518789.0625, tv loss=9638016.0000
L-BFGS | iteration: 201, total loss=1965670528.0000, content_loss=202716347.6562, style loss=1753317070.3125, tv loss=9637030.0000
L-BFGS | iteration: 202, total loss=1951935104.0000, content_loss=202759511.7188, style loss=1739540039.0625, tv loss=9635453.0000
L-BFGS | iteration: 203, total loss=1948435200.0000, content_loss=202550253.9062, style loss=1736249882.8125, tv loss=9635124.0000
L-BFGS | iteration: 204, total loss=1938862208.0000, content_loss=202659062.5000, style loss=1726571250.0000, tv loss=9631854.0000
L-BFGS | iteration: 205, total loss=1930752256.0000, content_loss=202832578.1250, style loss=1718283750.0000, tv loss=9635852.0000
L-BFGS | iteration: 206, total loss=1924880512.0000, content_loss=202834921.8750, style loss=1712410664.0625, tv loss=9634894.0000
L-BFGS | iteration: 207, total loss=1916445312.0000, content_loss=202955332.0312, style loss=1703855507.8125, tv loss=9634494.0000
L-BFGS | iteration: 208, total loss=1907862144.0000, content_loss=202941835.9375, style loss=1695286289.0625, tv loss=9633986.0000
L-BFGS | iteration: 209, total loss=1894751360.0000, content_loss=202974511.7188, style loss=1682145937.5000, tv loss=9630924.0000
L-BFGS | iteration: 210, total loss=1887892864.0000, content_loss=202906679.6875, style loss=1675347773.4375, tv loss=9638564.0000
L-BFGS | iteration: 211, total loss=1876954880.0000, content_loss=203100703.1250, style loss=1664223164.0625, tv loss=9631113.0000
L-BFGS | iteration: 212, total loss=1874512640.0000, content_loss=202978925.7812, style loss=1661907539.0625, tv loss=9626085.0000
L-BFGS | iteration: 213, total loss=1871382144.0000, content_loss=203039824.2188, style loss=1658714296.8750, tv loss=9627978.0000
L-BFGS | iteration: 214, total loss=1867404928.0000, content_loss=203036171.8750, style loss=1654739648.4375, tv loss=9629064.0000
L-BFGS | iteration: 215, total loss=1857534080.0000, content_loss=202945839.8438, style loss=1644956601.5625, tv loss=9631704.0000
L-BFGS | iteration: 216, total loss=1849597568.0000, content_loss=203143496.0938, style loss=1636822148.4375, tv loss=9631879.0000
L-BFGS | iteration: 217, total loss=1842043520.0000, content_loss=203122285.1562, style loss=1629290976.5625, tv loss=9630197.0000
L-BFGS | iteration: 218, total loss=1833100928.0000, content_loss=203104726.5625, style loss=1620368085.9375, tv loss=9627989.0000
L-BFGS | iteration: 219, total loss=1825026944.0000, content_loss=203259335.9375, style loss=1612139648.4375, tv loss=9628030.0000
L-BFGS | iteration: 220, total loss=1818670208.0000, content_loss=203277519.5312, style loss=1605763359.3750, tv loss=9629296.0000
L-BFGS | iteration: 221, total loss=1808587904.0000, content_loss=203335429.6875, style loss=1595624648.4375, tv loss=9627738.0000
L-BFGS | iteration: 222, total loss=1820946560.0000, content_loss=203277460.9375, style loss=1608036210.9375, tv loss=9632892.0000
L-BFGS | iteration: 223, total loss=1804359168.0000, content_loss=203345644.5312, style loss=1591384335.9375, tv loss=9629169.0000
L-BFGS | iteration: 224, total loss=1796679168.0000, content_loss=203469707.0312, style loss=1583580820.3125, tv loss=9628628.0000
