L-BFGS | iteration: 210, total loss=2336638208.0000, content_loss=253917578.1250, style loss=2056150781.2500, tv loss=26569792.0000
L-BFGS | iteration: 211, total loss=2323355136.0000, content_loss=253858242.1875, style loss=2042932265.6250, tv loss=26564732.0000
L-BFGS | iteration: 212, total loss=2316182016.0000, content_loss=253797988.2812, style loss=2035804453.1250, tv loss=26579748.0000
L-BFGS | iteration: 213, total loss=2306092544.0000, content_loss=253882949.2188, style loss=2025622500.0000, tv loss=26587196.0000
L-BFGS | iteration: 214, total loss=2296730624.0000, content_loss=253799589.8438, style loss=2016335156.2500, tv loss=26595840.0000
L-BFGS | iteration: 215, total loss=2283540480.0000, content_loss=253856503.9062, style loss=2003081015.6250, tv loss=26603076.0000
L-BFGS | iteration: 216, total loss=2269502976.0000, content_loss=253969179.6875, style loss=1988909296.8750, tv loss=26624576.0000
L-BFGS | iteration: 217, total loss=2256598272.0000, content_loss=254075078.1250, style loss=1975892578.1250, tv loss=26630668.0000
L-BFGS | iteration: 218, total loss=2249594880.0000, content_loss=254104941.4062, style loss=1968859218.7500, tv loss=26630568.0000
L-BFGS | iteration: 219, total loss=2244067584.0000, content_loss=254045957.0312, style loss=1963363125.0000, tv loss=26658520.0000
L-BFGS | iteration: 220, total loss=2235926272.0000, content_loss=253988496.0938, style loss=1955284335.9375, tv loss=26653384.0000
L-BFGS | iteration: 221, total loss=2224815616.0000, content_loss=253911816.4062, style loss=1944247500.0000, tv loss=26656204.0000
L-BFGS | iteration: 222, total loss=2211538176.0000, content_loss=253913457.0312, style loss=1930952695.3125, tv loss=26672082.0000
L-BFGS | iteration: 223, total loss=2198595328.0000, content_loss=253892265.6250, style loss=1918010039.0625, tv loss=26693232.0000
L-BFGS | iteration: 224, total loss=2188586240.0000, content_loss=254005761.7188, style loss=1907878007.8125, tv loss=26702548.0000
